Brand Name	Discounted Price	Original Price	Price Change
CLAUDIE PIERLOT	"HKD 2,205"	"HKD 3,675"	40% off
COACH	"HKD 3,008"	"HKD 5,470"	45% off
STELLA MCCARTNEY	"HKD 4,008"	"HKD 10,020"	60% off
COACH	"HKD 3,457"	"HKD 6,780"	49% off
MAISON MARGIELA	"HKD 5,274"	"HKD 13,185"	60% off
GIVENCHY	"HKD 13,214"	"HKD 33,034"	60% off
EMILIA WICKSTEAD	"HKD 6,285"	"HKD 16,542"	62% off
MAJE	"HKD 2,874"	"HKD 4,790"	40% off
THE ROW	"HKD 11,044"	"HKD 18,408"	40% off
MARY KATRANTZOU	"HKD 7,873"	"HKD 20,720"	62% off
CLAUDIE PIERLOT	"HKD 2,598"	"HKD 4,330"	40% off
BELSTAFF	"HKD 3,830"	"HKD 8,705"	56% off
EMILIO PUCCI	"HKD 6,100"	"HKD 14,525"	58% off
REDVALENTINO	"HKD 2,798"	"HKD 6,219"	55% off
JOSEPH	"HKD 2,385"	"HKD 4,770"	50% off
DOLCE & GABBANA	"HKD 11,625"	"HKD 29,064"	60% off
CLAUDIE PIERLOT	"HKD 2,364"	"HKD 3,940"	40% off
EMILIO PUCCI	"HKD 7,074"	"HKD 19,120"	63% off
COACH	"HKD 3,129"	"HKD 5,690"	45% off
VALENTINO	"HKD 10,324"	"HKD 20,646"	50% off
MSGM	"HKD 1,998"	"HKD 4,445"	55% off
EMILIO PUCCI	"HKD 5,292"	"HKD 12,600"	58% off
W118 BY WALTER BAKER	"HKD 1,050"	"HKD 2,100"	50% off
CLAUDIE PIERLOT	"HKD 2,205"	"HKD 3,675"	40% off
TART	"HKD 1,037"	"HKD 2,075"	50% off
TART COLLECTIONS	"HKD 1,422"	"HKD 2,845"	50% off
DUVETICA	"HKD 2,364"	"HKD 4,378"	46% off
MUUBAA	"HKD 1,902"	"HKD 3,730"	49% off
TART	"HKD 1,422"	"HKD 2,845"	50% off
BY MALENE BIRGER	"HKD 1,514"	"HKD 3,440"	56% off
THEORY	"HKD 2,322"	"HKD 4,645"	50% off
CLAUDIE PIERLOT	"HKD 2,205"	"HKD 3,675"	40% off
JOSEPH	"HKD 3,552"	"HKD 11,841"	70% off
TART COLLECTIONS	HKD 912	"HKD 2,073"	56% off
AINEA	"HKD 2,117"	"HKD 4,235"	50% off
MAJE	"HKD 3,254"	"HKD 6,507"	50% off
COACH	"HKD 3,344"	"HKD 6,080"	45% off
AINEA	"HKD 1,720"	"HKD 3,443"	50% off
A.P.C.	"HKD 1,643"	"HKD 3,100"	47% off
AINEA	"HKD 1,990"	"HKD 3,980"	50% off
TART COLLECTIONS	"HKD 4,124"	"HKD 6,345"	35% off
GANNI	"HKD 1,641"	"HKD 3,730"	56% off
MAJE	"HKD 2,288"	"HKD 3,811"	40% off
TART	"HKD 1,037"	"HKD 2,075"	50% off
GANNI	"HKD 1,325"	"HKD 2,945"	55% off
JOSEPH	"HKD 2,602"	"HKD 5,205"	50% off
VANESSA SEWARD	"HKD 1,812"	"HKD 3,625"	50% off
IRIS & INK	"HKD 1,575"		
MICHAEL MICHAEL KORS	HKD 935	"HKD 1,910"	51% off
IRO	"HKD 2,079"	"HKD 4,726"	56% off
THEORY	"HKD 2,444"	"HKD 5,555"	56% off
OAK	"HKD 1,600"	"HKD 4,000"	60% off
BELSTAFF	"HKD 3,492"	"HKD 8,315"	58% off
W118 BY WALTER BAKER	HKD 954	"HKD 1,907"	50% off
SAFIYAA	"HKD 4,316"	"HKD 13,080"	67% off
AINEA	"HKD 1,990"	"HKD 3,980"	50% off
BELSTAFF	"HKD 2,824"	"HKD 7,632"	63% off
A.P.C.	"HKD 2,034"	"HKD 5,084"	60% off
MAJE	"HKD 2,114"	"HKD 3,522"	40% off
AINEA	"HKD 2,012"	"HKD 4,025"	50% off
AINEA	"HKD 2,012"	"HKD 4,025"	50% off
LOVE MOSCHINO	"HKD 3,483"		
A.P.C.	"HKD 1,857"	"HKD 3,505"	47% off
AINEA	"HKD 1,902"	"HKD 3,805"	50% off
TART COLLECTIONS	"HKD 2,220"	"HKD 6,345"	65% off
MAJE	"HKD 2,782"	"HKD 4,637"	40% off
THEORY	"HKD 1,878"	"HKD 3,755"	50% off
MICHAEL MICHAEL KORS	"HKD 1,130"	"HKD 2,408"	53% off
AINEA	"HKD 1,651"	"HKD 3,370"	51% off
HELMUT LANG	"HKD 5,708"	"HKD 12,686"	55% off
VINCE.	"HKD 3,284"	"HKD 5,970"	45% off
THEORY	"HKD 1,642"	"HKD 3,650"	55% off
OAK	"HKD 1,522"	"HKD 3,805"	60% off
LOVE MOSCHINO	"HKD 1,570"	"HKD 3,274"	52% off
