University_name,Ranking,Country,Source
Harvard University,#1,United States,USNEWS
Massachusetts Institute of Technology,#2,United States,USNEWS
Stanford University,#3,United States,USNEWS
University of California--Berkeley,#4,United States,USNEWS
University of Oxford,#5,United Kingdom,USNEWS
California Institute of Technology,#6,United States,USNEWS
Columbia University,#7,United States,USNEWS
Princeton University,#8,United States,USNEWS
University of Cambridge,#9,United Kingdom,USNEWS
University of Washington,#10,United States,USNEWS
Johns Hopkins University,#11,United States,USNEWS
Yale University,#12,United States,USNEWS
University of Chicago,#13,United States,USNEWS
University of California--Los Angeles,#14,United States,USNEWS
University of California--San Francisco,#15,United States,USNEWS
University of Pennsylvania,#16,United States,USNEWS
University of Michigan--Ann Arbor,#17,United States,USNEWS
University of Toronto,#18,Canada,USNEWS
University of California--San Diego,#19,United States,USNEWS
Imperial College London,#20,United Kingdom,USNEWS
University College London,#21,United Kingdom,USNEWS
Duke University,#22,United States,USNEWS
Cornell University,#23,United States,USNEWS
Northwestern University,#24,United States,USNEWS
Swiss Federal Institute of Technology Zurich,#25,Switzerland,USNEWS
University of Melbourne,#26,Australia,USNEWS
University of Sydney,#27,Australia,USNEWS
New York University,"#28
Tie",United States,USNEWS
University of Edinburgh,"#28
Tie",United Kingdom,USNEWS
University of British Columbia,#30,Canada,USNEWS
Washington University in St. Louis,#31,United States,USNEWS
University of Copenhagen,#32,Denmark,USNEWS
University of North Carolina--Chapel Hill,#33,United States,USNEWS
National University of Singapore,"#34
Tie",Singapore,USNEWS
University of Texas--Austin,"#34
Tie",United States,USNEWS
Tsinghua University,#36,China,USNEWS
King's College London,"#37
Tie",United Kingdom,USNEWS
Sorbonne Universite,"#37
Tie",France,USNEWS
University of Wisconsin--Madison,"#37
Tie",United States,USNEWS
University of Amsterdam,#40,Netherlands,USNEWS
University of California--Santa Barbara,#41,United States,USNEWS
University of Queensland Australia,#42,Australia,USNEWS
Nanyang Technological University,"#43
Tie",Singapore,USNEWS
University of Munich,"#43
Tie",Germany,USNEWS
École Polytechnique Federale of Lausanne,"#45
Tie",Switzerland,USNEWS
Ohio State University--Columbus,"#45
Tie",United States,USNEWS
University of Minnesota--Twin Cities,"#47
Tie",United States,USNEWS
University of Pittsburgh,"#47
Tie",United States,USNEWS
McGill University,#49,Canada,USNEWS
University of Colorado--Boulder,#50,United States,USNEWS
Boston University,"#51
Tie",United States,USNEWS
Karolinska Institute,"#51
Tie",Sweden,USNEWS
King Abdulaziz University,"#51
Tie",Saudi Arabia,USNEWS
University of Maryland--College Park,"#51
Tie",United States,USNEWS
Utrecht University,#55,Netherlands,USNEWS
Catholic University of Leuven,"#56
Tie",Belgium,USNEWS
Heidelberg University,"#56
Tie",Germany,USNEWS
University of Zurich,#58,Switzerland,USNEWS
Monash University,"#59
Tie",Australia,USNEWS
Peking University,"#59
Tie",China,USNEWS
University of Illinois--Urbana-Champaign,"#59
Tie",United States,USNEWS
Georgia Institute of Technology,"#62
Tie",United States,USNEWS
Rockefeller University,"#62
Tie",United States,USNEWS
University of California--Davis,"#64
Tie",United States,USNEWS
University of Manchester,"#64
Tie",United Kingdom,USNEWS
University of New South Wales,"#64
Tie",Australia,USNEWS
Icahn School of Medicine at Mount Sinai,"#67
Tie",United States,USNEWS
Universite Sorbonne Paris Cite-USPC (ComUE),"#67
Tie",France,USNEWS
Australian National University,"#69
Tie",Australia,USNEWS
University of Southern California,"#69
Tie",United States,USNEWS
Emory University,#71,United States,USNEWS
Pennsylvania State University--University Park,"#72
Tie",United States,USNEWS
Vanderbilt University,"#72
Tie",United States,USNEWS
Erasmus University Rotterdam,"#74
Tie",Netherlands,USNEWS
University of Tokyo,"#74
Tie",Japan,USNEWS
University of California--Santa Cruz,#76,United States,USNEWS
Technical University of Munich,#77,Germany,USNEWS
University of California--Irvine,#78,United States,USNEWS
Wageningen University and Research Center,#79,Netherlands,USNEWS
University of Adelaide,#80,Australia,USNEWS
University of Bristol,#81,United Kingdom,USNEWS
Carnegie Mellon University,"#82
Tie",United States,USNEWS
